num_attacks,num_ripples,attack_location,ripple_damage
2,8,"[(13.97, 2.79), (68.59, 13.52)]","[32.67, 21.78, 14.52, 9.68, 6.45, 4.3, 2.87, 1.91]"
5,8,"[(65.24, 26.14), (16.87, 4.87), (50.23, 38.63), (60.88, 31.29), (9.86, 11.02)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72, 1.81, 1.21]"
3,7,"[(3.12, 16.7), (4.23, 46.12), (16.99, 28.74)]","[17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
2,9,"[(53.39, 3.64), (33.99, 46.35)]","[31.33, 20.89, 13.93, 9.28, 6.19, 4.13, 2.75, 1.83, 1.22]"
3,9,"[(46.32, 49.42), (44.43, 4.73), (45.28, 4.02)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4, 0.94]"
4,9,"[(28.83, 27.3), (19.62, 49.25), (17.71, 11.21), (2.46, 9.7)]","[13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78, 0.52]"
3,6,"[(53.97, 6.16), (1.36, 46.93), (29.19, 34.12)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55]"
5,6,"[(56.46, 3.27), (50.74, 9.87), (51.88, 1.95), (31.0, 32.55), (43.1, 1.81)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51]"
2,6,"[(6.41, 1.0), (22.83, 17.68)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27]"
4,8,"[(2.2, 10.51), (40.12, 4.59), (20.14, 28.61), (25.98, 38.39)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13]"
5,6,"[(55.79, 6.65), (52.4, 20.0), (31.24, 25.42), (49.0, 46.95), (48.52, 36.95)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42]"
3,5,"[(2.33, 14.88), (67.27, 49.18), (43.22, 33.92)]","[25.33, 16.89, 11.26, 7.51, 5.0]"
3,8,"[(40.14, 30.58), (19.63, 46.28), (22.34, 17.21)]","[37.33, 24.89, 16.59, 11.06, 7.37, 4.92, 3.28, 2.19]"
3,9,"[(22.86, 45.55), (49.19, 31.14), (54.29, 10.53)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
3,8,"[(37.61, 19.6), (29.96, 27.17), (68.7, 26.03)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
4,7,"[(56.6, 17.35), (42.2, 31.51), (63.97, 14.16), (34.82, 36.48)]","[38.67, 25.78, 17.19, 11.46, 7.64, 5.09, 3.39]"
4,6,"[(47.93, 25.61), (38.89, 32.23), (43.45, 4.65), (3.03, 34.27)]","[30.67, 20.44, 13.63, 9.09, 6.06, 4.04]"
5,7,"[(65.34, 15.4), (25.36, 26.9), (22.36, 28.23), (66.32, 27.07), (42.65, 2.9)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86, 2.58]"
3,7,"[(34.59, 31.85), (15.0, 2.74), (60.7, 46.86)]","[21.33, 14.22, 9.48, 6.32, 4.21, 2.81, 1.87]"
4,5,"[(40.41, 9.29), (34.65, 39.56), (55.68, 40.22), (6.61, 31.55)]","[28.67, 19.11, 12.74, 8.49, 5.66]"
2,5,"[(50.23, 21.3), (3.83, 20.26)]","[16.67, 11.11, 7.41, 4.94, 3.29]"
3,6,"[(34.34, 30.08), (23.15, 46.53), (28.13, 4.79)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18]"
4,6,"[(17.98, 32.89), (50.45, 5.72), (17.44, 17.32), (32.54, 17.32)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86]"
3,7,"[(40.98, 21.82), (55.51, 42.83), (38.87, 47.42)]","[28.0, 18.67, 12.44, 8.3, 5.53, 3.69, 2.46]"
3,8,"[(62.31, 4.33), (59.3, 44.63), (53.7, 27.58)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65, 3.1, 2.07]"
4,6,"[(32.92, 48.54), (62.51, 38.99), (11.42, 9.29), (26.49, 49.43)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57]"
2,8,"[(8.68, 49.12), (68.99, 13.05)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
4,8,"[(4.53, 24.16), (45.96, 2.4), (34.36, 14.46), (60.0, 18.86)]","[37.33, 24.89, 16.59, 11.06, 7.37, 4.92, 3.28, 2.19]"
3,5,"[(64.82, 44.95), (3.94, 28.73), (60.1, 28.9)]","[30.67, 20.44, 13.63, 9.09, 6.06]"
5,8,"[(58.02, 22.93), (16.22, 37.68), (28.96, 31.15), (50.5, 28.68), (5.89, 9.55)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65, 3.1, 2.07]"
3,6,"[(24.79, 19.98), (2.04, 15.92), (2.32, 40.54)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65]"
5,8,"[(6.24, 26.0), (13.05, 11.33), (25.34, 32.04), (45.77, 27.27), (60.62, 16.92)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18, 3.45, 2.3]"
5,7,"[(29.09, 48.02), (64.42, 28.45), (24.71, 14.94), (43.8, 33.85), (20.64, 39.03)]","[14.0, 9.33, 6.22, 4.15, 2.77, 1.84, 1.23]"
2,5,"[(49.21, 14.5), (39.97, 14.55)]","[29.33, 19.56, 13.04, 8.69, 5.79]"
3,6,"[(42.83, 24.74), (35.78, 8.18), (25.72, 42.41)]","[14.67, 9.78, 6.52, 4.35, 2.9, 1.93]"
2,8,"[(32.73, 2.4), (8.03, 9.67)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
2,8,"[(41.1, 14.8), (29.51, 28.48)]","[20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17]"
2,8,"[(35.34, 10.27), (14.94, 48.06)]","[15.33, 10.22, 6.81, 4.54, 3.03, 2.02, 1.35, 0.9]"
4,9,"[(69.11, 34.96), (34.87, 42.71), (17.68, 26.96), (31.08, 38.08)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
4,7,"[(27.51, 24.86), (18.3, 13.0), (12.72, 1.54), (12.82, 29.19)]","[16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
5,7,"[(28.43, 30.56), (32.87, 41.58), (60.53, 36.03), (29.41, 3.25), (69.16, 22.43)]","[36.67, 24.44, 16.3, 10.86, 7.24, 4.83, 3.22]"
3,6,"[(67.95, 29.95), (14.48, 18.92), (46.68, 12.48)]","[38.67, 25.78, 17.19, 11.46, 7.64, 5.09]"
3,9,"[(49.79, 48.62), (10.05, 27.05), (25.13, 41.28)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
5,8,"[(24.51, 8.88), (25.92, 36.28), (58.54, 31.63), (21.22, 19.73), (55.72, 14.58)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
5,9,"[(20.09, 13.39), (50.98, 30.49), (10.52, 31.52), (26.98, 25.24), (61.03, 3.88)]","[37.33, 24.89, 16.59, 11.06, 7.37, 4.92, 3.28, 2.19, 1.46]"
5,5,"[(54.07, 14.23), (29.32, 33.98), (15.99, 34.85), (59.72, 25.27), (1.23, 28.48)]","[38.0, 25.33, 16.89, 11.26, 7.51]"
2,8,"[(39.51, 15.81), (65.05, 29.15)]","[16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4, 0.94]"
3,9,"[(34.92, 22.42), (24.21, 49.81), (53.58, 36.92)]","[13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78, 0.52]"
5,6,"[(16.95, 4.94), (69.67, 43.17), (36.45, 12.07), (29.28, 24.45), (41.42, 45.98)]","[22.67, 15.11, 10.07, 6.72, 4.48, 2.98]"
4,5,"[(3.67, 31.69), (44.23, 33.89), (29.96, 36.9), (51.48, 1.19)]","[36.67, 24.44, 16.3, 10.86, 7.24]"
3,6,"[(61.28, 32.18), (54.24, 1.66), (2.59, 28.57)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18]"
2,5,"[(46.56, 38.7), (46.96, 35.71)]","[14.67, 9.78, 6.52, 4.35, 2.9]"
4,8,"[(36.91, 22.83), (19.37, 28.9), (68.17, 44.74), (57.6, 8.99)]","[38.0, 25.33, 16.89, 11.26, 7.51, 5.0, 3.34, 2.22]"
3,8,"[(5.94, 2.42), (37.09, 11.28), (67.29, 45.96)]","[18.67, 12.44, 8.3, 5.53, 3.69, 2.46, 1.64, 1.09]"
3,5,"[(51.87, 18.61), (57.67, 11.8), (1.41, 8.8)]","[33.33, 22.22, 14.81, 9.88, 6.58]"
3,8,"[(1.19, 19.6), (30.89, 24.95), (10.38, 36.43)]","[16.67, 11.11, 7.41, 4.94, 3.29, 2.19, 1.46, 0.98]"
3,9,"[(18.42, 43.85), (43.84, 12.71), (42.99, 16.42)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57, 3.04, 2.03, 1.35]"
4,6,"[(66.04, 19.84), (57.17, 47.6), (58.98, 18.5), (39.97, 19.71)]","[33.33, 22.22, 14.81, 9.88, 6.58, 4.39]"
3,9,"[(26.03, 42.01), (22.25, 7.55), (2.7, 27.09)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72, 1.81, 1.21, 0.81]"
2,5,"[(6.65, 15.41), (41.94, 5.15)]","[14.0, 9.33, 6.22, 4.15, 2.77]"
3,6,"[(7.32, 15.48), (10.02, 31.29), (45.54, 6.77)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42]"
4,6,"[(61.64, 37.02), (56.05, 49.59), (48.6, 39.45), (35.34, 14.01)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16]"
3,8,"[(1.35, 44.83), (13.01, 42.55), (63.77, 2.14)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13]"
2,7,"[(8.73, 10.02), (18.95, 18.77)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65, 3.1]"
5,8,"[(32.69, 38.2), (5.28, 34.81), (59.49, 36.87), (18.41, 43.17), (44.46, 17.34)]","[36.67, 24.44, 16.3, 10.86, 7.24, 4.83, 3.22, 2.15]"
4,5,"[(21.58, 13.07), (32.68, 1.35), (38.18, 22.3), (41.81, 26.32)]","[18.0, 12.0, 8.0, 5.33, 3.56]"
4,7,"[(26.66, 46.18), (1.49, 28.89), (29.66, 11.46), (49.83, 12.6)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
4,9,"[(61.3, 40.85), (36.86, 49.36), (59.6, 22.28), (15.2, 35.35)]","[34.0, 22.67, 15.11, 10.07, 6.72, 4.48, 2.98, 1.99, 1.33]"
2,5,"[(17.61, 27.47), (20.55, 45.58)]","[24.67, 16.44, 10.96, 7.31, 4.87]"
2,7,"[(35.11, 9.66), (4.51, 30.71)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
5,5,"[(43.22, 9.18), (3.22, 44.68), (33.72, 25.39), (38.68, 8.36), (66.34, 5.12)]","[20.67, 13.78, 9.19, 6.12, 4.08]"
2,5,"[(23.15, 3.72), (60.9, 33.99)]","[36.0, 24.0, 16.0, 10.67, 7.11]"
4,7,"[(66.35, 23.49), (14.0, 23.54), (8.27, 11.41), (39.26, 35.06)]","[17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
3,9,"[(52.69, 5.46), (32.4, 23.58), (24.96, 24.3)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34, 1.56, 1.04]"
5,7,"[(68.9, 28.0), (25.08, 27.93), (9.58, 33.78), (59.63, 1.08), (67.94, 28.87)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16]"
3,7,"[(3.69, 44.65), (52.0, 8.44), (24.73, 8.38)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28]"
4,8,"[(2.74, 31.89), (48.15, 45.54), (52.49, 37.42), (39.52, 36.64)]","[33.33, 22.22, 14.81, 9.88, 6.58, 4.39, 2.93, 1.95]"
5,8,"[(31.22, 9.72), (27.37, 44.46), (42.06, 49.5), (41.56, 6.15), (36.81, 28.02)]","[28.67, 19.11, 12.74, 8.49, 5.66, 3.78, 2.52, 1.68]"
2,6,"[(62.52, 46.16), (52.8, 47.17)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18]"
2,9,"[(50.8, 2.57), (42.45, 22.06)]","[36.67, 24.44, 16.3, 10.86, 7.24, 4.83, 3.22, 2.15, 1.43]"
3,9,"[(21.52, 30.09), (21.36, 45.29), (5.39, 25.75)]","[32.0, 21.33, 14.22, 9.48, 6.32, 4.21, 2.81, 1.87, 1.25]"
5,8,"[(66.93, 11.91), (28.85, 33.58), (43.41, 18.69), (37.28, 38.51), (54.83, 8.69)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72, 1.81, 1.21]"
4,8,"[(23.95, 6.52), (21.15, 30.9), (58.02, 28.49), (3.22, 23.18)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29]"
5,7,"[(22.76, 34.96), (55.77, 14.75), (11.85, 41.34), (52.52, 46.79), (43.11, 6.98)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16]"
4,6,"[(61.3, 22.81), (52.39, 19.27), (43.77, 26.72), (12.14, 44.52)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74]"
3,9,"[(22.77, 24.21), (36.68, 49.79), (48.16, 47.14)]","[13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78, 0.52]"
5,9,"[(61.7, 20.28), (14.52, 40.2), (46.3, 33.19), (26.62, 9.99), (19.48, 14.64)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34, 1.56]"
5,6,"[(45.22, 33.71), (68.4, 43.57), (25.84, 13.97), (5.48, 28.1), (27.79, 41.98)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18]"
3,6,"[(41.36, 37.92), (58.24, 39.34), (11.16, 48.4)]","[30.0, 20.0, 13.33, 8.89, 5.93, 3.95]"
4,9,"[(14.76, 2.2), (19.53, 1.53), (36.99, 26.2), (13.44, 18.67)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86, 2.58, 1.72, 1.14]"
5,5,"[(27.21, 35.82), (63.33, 4.28), (4.98, 12.41), (32.17, 23.61), (4.95, 9.73)]","[36.0, 24.0, 16.0, 10.67, 7.11]"
5,5,"[(49.09, 44.3), (36.22, 33.58), (28.54, 36.42), (3.27, 33.09), (31.39, 5.9)]","[35.33, 23.56, 15.7, 10.47, 6.98]"
2,5,"[(67.72, 43.95), (67.34, 46.34)]","[38.0, 25.33, 16.89, 11.26, 7.51]"
2,8,"[(15.73, 25.95), (24.93, 15.6)]","[25.33, 16.89, 11.26, 7.51, 5.0, 3.34, 2.22, 1.48]"
5,9,"[(2.62, 32.52), (19.28, 30.02), (37.58, 1.26), (33.95, 25.12), (28.83, 20.49)]","[15.33, 10.22, 6.81, 4.54, 3.03, 2.02, 1.35, 0.9, 0.6]"
2,8,"[(62.58, 34.41), (40.6, 3.04)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11]"
4,8,"[(58.7, 28.36), (63.89, 29.81), (37.02, 35.89), (10.71, 4.08)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29]"
2,7,"[(19.48, 23.41), (57.62, 31.73)]","[30.0, 20.0, 13.33, 8.89, 5.93, 3.95, 2.63]"
4,9,"[(61.06, 17.16), (61.34, 5.81), (42.09, 13.49), (21.87, 5.24)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29, 0.86]"
2,9,"[(38.29, 15.57), (64.91, 24.46)]","[32.67, 21.78, 14.52, 9.68, 6.45, 4.3, 2.87, 1.91, 1.27]"
3,8,"[(61.29, 48.72), (56.34, 36.7), (9.76, 42.74)]","[28.67, 19.11, 12.74, 8.49, 5.66, 3.78, 2.52, 1.68]"
4,8,"[(24.82, 13.83), (8.73, 7.05), (21.08, 18.6), (53.92, 2.14)]","[31.33, 20.89, 13.93, 9.28, 6.19, 4.13, 2.75, 1.83]"
4,8,"[(61.85, 28.72), (18.32, 9.73), (12.39, 49.6), (6.22, 32.73)]","[30.0, 20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76]"
2,9,"[(13.22, 1.18), (5.57, 39.82)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34, 1.56]"
2,6,"[(56.93, 7.63), (25.31, 29.88)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42]"
4,6,"[(39.62, 42.7), (66.81, 5.29), (10.55, 29.87), (62.49, 34.82)]","[24.67, 16.44, 10.96, 7.31, 4.87, 3.25]"
5,5,"[(39.19, 47.03), (22.41, 37.15), (33.16, 16.92), (48.7, 8.34), (32.55, 16.07)]","[22.0, 14.67, 9.78, 6.52, 4.35]"
3,7,"[(67.27, 19.1), (52.88, 12.46), (59.67, 13.64)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57, 3.04]"
4,9,"[(63.55, 45.45), (16.61, 2.49), (5.08, 48.36), (44.74, 9.34)]","[14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29, 0.86, 0.57]"
3,8,"[(14.97, 49.93), (31.35, 43.78), (65.74, 5.7)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13]"
5,9,"[(29.96, 45.15), (42.7, 11.25), (50.59, 44.85), (27.44, 38.43), (39.25, 8.92)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34, 1.56, 1.04]"
4,9,"[(17.44, 26.11), (47.33, 30.47), (48.52, 33.36), (23.98, 15.43)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57, 3.04, 2.03, 1.35]"
3,9,"[(51.01, 45.19), (18.98, 17.55), (25.17, 7.91)]","[38.0, 25.33, 16.89, 11.26, 7.51, 5.0, 3.34, 2.22, 1.48]"
2,7,"[(41.65, 32.8), (54.78, 14.62)]","[24.67, 16.44, 10.96, 7.31, 4.87, 3.25, 2.17]"
4,6,"[(32.61, 9.53), (9.35, 11.82), (43.6, 29.21), (46.11, 2.93)]","[25.33, 16.89, 11.26, 7.51, 5.0, 3.34]"
3,5,"[(52.01, 9.57), (39.65, 30.31), (22.85, 26.94)]","[33.33, 22.22, 14.81, 9.88, 6.58]"
5,5,"[(5.94, 22.75), (58.11, 25.15), (47.2, 43.1), (48.63, 31.25), (46.01, 26.52)]","[21.33, 14.22, 9.48, 6.32, 4.21]"
4,6,"[(49.4, 25.6), (65.39, 27.1), (24.36, 34.18), (59.25, 14.35)]","[22.67, 15.11, 10.07, 6.72, 4.48, 2.98]"
5,5,"[(14.97, 47.62), (29.65, 37.21), (26.79, 12.7), (63.57, 38.18), (31.19, 36.33)]","[32.67, 21.78, 14.52, 9.68, 6.45]"
5,9,"[(39.65, 12.27), (14.12, 18.29), (66.32, 41.7), (5.07, 10.2), (50.88, 5.79)]","[14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29, 0.86, 0.57]"
2,5,"[(36.41, 22.99), (56.94, 8.05)]","[20.0, 13.33, 8.89, 5.93, 3.95]"
3,8,"[(23.84, 6.72), (17.86, 24.32), (10.28, 22.61)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
3,5,"[(65.64, 47.45), (24.19, 27.87), (33.85, 19.91)]","[22.67, 15.11, 10.07, 6.72, 4.48]"
4,6,"[(49.51, 25.37), (54.38, 15.32), (30.91, 41.01), (30.42, 15.54)]","[38.0, 25.33, 16.89, 11.26, 7.51, 5.0]"
5,6,"[(41.35, 31.58), (42.58, 26.3), (56.32, 32.61), (32.28, 1.81), (65.78, 27.14)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57]"
5,7,"[(58.35, 30.18), (43.04, 16.48), (53.4, 43.43), (6.4, 4.11), (65.07, 29.67)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93]"
3,8,"[(17.69, 21.94), (11.52, 28.42), (61.82, 14.32)]","[36.67, 24.44, 16.3, 10.86, 7.24, 4.83, 3.22, 2.15]"
4,8,"[(48.85, 4.8), (26.03, 46.92), (50.57, 31.14), (20.34, 41.88)]","[32.67, 21.78, 14.52, 9.68, 6.45, 4.3, 2.87, 1.91]"
3,9,"[(15.95, 49.39), (7.92, 27.33), (67.88, 11.2)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52, 1.01]"
3,8,"[(2.04, 11.6), (33.73, 2.68), (28.83, 45.59)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
3,6,"[(20.04, 37.46), (65.29, 40.93), (36.56, 30.32)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55]"
2,7,"[(38.82, 43.44), (48.79, 39.78)]","[28.0, 18.67, 12.44, 8.3, 5.53, 3.69, 2.46]"
3,5,"[(7.78, 28.97), (18.12, 16.8), (34.43, 9.48)]","[14.0, 9.33, 6.22, 4.15, 2.77]"
3,9,"[(15.18, 37.03), (55.04, 2.53), (36.15, 13.65)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72, 1.81, 1.21, 0.81]"
3,8,"[(17.53, 31.61), (39.75, 48.47), (4.86, 49.03)]","[20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17]"
5,7,"[(13.2, 5.83), (52.38, 27.74), (29.16, 17.81), (13.03, 8.77), (37.06, 33.97)]","[17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
3,7,"[(58.9, 12.24), (45.77, 44.76), (38.21, 39.85)]","[17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
5,9,"[(52.05, 2.99), (11.83, 34.35), (30.19, 36.86), (9.28, 25.08), (41.92, 37.94)]","[38.0, 25.33, 16.89, 11.26, 7.51, 5.0, 3.34, 2.22, 1.48]"
5,7,"[(45.05, 12.95), (8.7, 27.94), (14.5, 43.34), (53.2, 41.22), (49.06, 49.13)]","[31.33, 20.89, 13.93, 9.28, 6.19, 4.13, 2.75]"
5,8,"[(46.07, 9.22), (38.61, 13.15), (39.39, 39.35), (28.65, 31.64), (69.53, 18.02)]","[15.33, 10.22, 6.81, 4.54, 3.03, 2.02, 1.35, 0.9]"
4,6,"[(41.23, 17.36), (30.8, 43.66), (6.59, 37.24), (7.21, 40.46)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16]"
3,7,"[(3.21, 23.17), (30.84, 32.78), (37.99, 10.29)]","[16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
5,5,"[(19.71, 43.2), (23.58, 31.8), (37.69, 40.56), (30.55, 1.79), (34.01, 14.72)]","[17.33, 11.56, 7.7, 5.14, 3.42]"
3,6,"[(46.93, 46.91), (38.9, 47.57), (60.2, 39.77)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74]"
3,6,"[(1.78, 25.88), (37.16, 5.13), (19.18, 16.23)]","[24.67, 16.44, 10.96, 7.31, 4.87, 3.25]"
5,8,"[(43.96, 24.28), (2.21, 2.1), (9.74, 38.68), (43.85, 31.06), (27.74, 17.91)]","[14.0, 9.33, 6.22, 4.15, 2.77, 1.84, 1.23, 0.82]"
4,9,"[(61.4, 14.14), (6.67, 42.0), (58.82, 14.02), (6.45, 24.68)]","[16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4, 0.94, 0.62]"
5,6,"[(10.21, 32.46), (12.8, 12.73), (35.76, 2.73), (14.93, 38.87), (54.3, 31.04)]","[38.0, 25.33, 16.89, 11.26, 7.51, 5.0]"
4,7,"[(52.83, 30.07), (58.8, 18.44), (22.37, 33.52), (6.6, 2.47)]","[28.67, 19.11, 12.74, 8.49, 5.66, 3.78, 2.52]"
5,9,"[(59.0, 39.38), (22.25, 36.22), (62.19, 22.34), (11.15, 32.78), (14.66, 32.56)]","[17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52, 1.01, 0.68]"
3,5,"[(37.57, 21.32), (63.97, 6.1), (18.24, 24.98)]","[33.33, 22.22, 14.81, 9.88, 6.58]"
2,6,"[(2.25, 14.32), (45.29, 12.76)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42]"
4,8,"[(1.4, 25.57), (5.67, 47.67), (22.97, 9.83), (35.69, 6.65)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13]"
4,8,"[(4.79, 36.33), (42.96, 44.11), (19.11, 31.92), (15.43, 26.34)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29]"
5,8,"[(28.68, 33.57), (45.84, 31.94), (6.94, 4.26), (45.64, 16.07), (10.55, 21.83)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13]"
5,8,"[(3.61, 31.28), (9.17, 12.59), (53.98, 46.92), (19.75, 27.62), (13.07, 39.88)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13]"
2,8,"[(55.47, 20.42), (13.65, 8.89)]","[38.0, 25.33, 16.89, 11.26, 7.51, 5.0, 3.34, 2.22]"
2,8,"[(31.03, 38.2), (54.56, 3.77)]","[25.33, 16.89, 11.26, 7.51, 5.0, 3.34, 2.22, 1.48]"
2,6,"[(51.98, 24.35), (57.37, 45.52)]","[28.0, 18.67, 12.44, 8.3, 5.53, 3.69]"
5,7,"[(2.19, 23.86), (1.7, 41.03), (45.78, 43.38), (32.18, 25.38), (4.47, 27.31)]","[18.67, 12.44, 8.3, 5.53, 3.69, 2.46, 1.64]"
3,5,"[(27.41, 33.81), (11.21, 23.5), (1.35, 25.14)]","[22.0, 14.67, 9.78, 6.52, 4.35]"
4,8,"[(62.94, 5.24), (9.13, 47.66), (31.54, 28.98), (18.95, 38.38)]","[31.33, 20.89, 13.93, 9.28, 6.19, 4.13, 2.75, 1.83]"
2,5,"[(59.63, 34.6), (55.58, 31.24)]","[13.33, 8.89, 5.93, 3.95, 2.63]"
2,7,"[(32.21, 31.82), (45.94, 17.89)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
4,7,"[(8.5, 38.58), (32.7, 4.57), (34.94, 26.97), (37.53, 37.73)]","[13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17]"
2,9,"[(48.25, 21.28), (13.95, 42.55)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34, 1.56, 1.04]"
2,8,"[(37.56, 21.92), (55.55, 31.47)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
3,9,"[(61.97, 1.1), (30.97, 9.07), (10.12, 8.52)]","[33.33, 22.22, 14.81, 9.88, 6.58, 4.39, 2.93, 1.95, 1.3]"
4,7,"[(21.3, 7.8), (26.05, 34.15), (14.22, 39.35), (47.68, 44.12)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57, 3.04]"
5,7,"[(29.36, 31.53), (47.44, 14.32), (27.76, 3.15), (45.9, 43.15), (30.02, 38.97)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7]"
4,7,"[(21.04, 38.04), (54.61, 31.54), (3.26, 39.66), (5.79, 48.85)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11]"
2,5,"[(17.26, 48.51), (47.11, 11.22)]","[22.0, 14.67, 9.78, 6.52, 4.35]"
